"cmpgn_id","cmpgn_nm","copn_plcy_num","copn_plcy_nm","cnts_prod_id","prod_nm","copn_yn","cmpgn_svc_cnt","copn_use_cnt","copn_use_sta_dt","toast_yn","toast_cmpgn_cnt","toast_show_cnt","toast_click_cnt","toast_go_cnt","toast_exit_cnt","toast_show_dt","smart_cmpgn_cnt","smart_show_cnt","smart_click_cnt","smart_go_cnt","smart_exit_cnt"
C2600OY,통합 월정액 첫달 무료_6월 2차,A1CP1020261000120948,[이용 감사 혜택] 주요 월정액 1개월 100% 할인 (택1),PM30000176,"19월정액",1,399955,404,"20260627",0,0,0,0,0,0,,300040,300026,260505,18298,256338
C2600P0,<쉘터> 타겟 프로모션_30%_0604,A1SA1020261000120953,[즉시 할인] 쉘터 30% 할인쿠폰,,,1,840775,1270,"20260611",1,840775,342183,181025,6420,174605,"20260731",548788,548767,472526,30434,463876
C2600P1,[팝업] 밸류애드팀 STB 교체(26.6.8))_2-1차,,-,,,0,293202,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600P2,[팝업] 밸류애드팀 STB 교체(26.6.8))_2-2차,,-,,,0,274028,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600P3,[팝업] 밸류애드팀 STB 교체(26.6.8))_2-3차,,-,,,0,324901,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600P4,[팝업] 밸류애드팀 Btv 업_단기(26.6.9)_2-1차,,-,,,0,278324,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600P5,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_1,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,B tv+,1,787931,741,"20260713",0,0,0,0,0,0,,580451,580439,545575,82358,540375
C2600P5,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_1,DummyOffer,-,,,1,395285,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600P6,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_2,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,B tv+,1,792376,401,"20260716",0,0,0,0,0,0,,606722,606716,565229,81131,559373
C2600P7,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_3,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,B tv+,1,319277,53,"20260628",0,0,0,0,0,0,,296259,296258,282460,31138,280789
C2600P8,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_4,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,B tv+,1,793968,202,"20260628",0,0,0,0,0,0,,734511,734507,692259,75907,687180
C2600P9,[팝업] 밸류애드팀 Btv 업_단기(26.6.9)_2-2차,,-,,,0,294754,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600PA,[팝업] 밸류애드팀 Btv 업_단기(26.6.9)_2-3차,,-,,,0,145419,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600PB,[팝업] B tv All+(조합형)(26.6.9)_2-1차,,-,,,0,574112,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600PC,[팝업] B tv 스탠다드+(조합형)_(26.6.9)_2-1차,,-,,,0,439196,0,,0,0,0,0,0,0,,0,0,0,0,0
